Job Title,Rating,Company Name,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Min_salary,Max_salary,Avg_salary,Job_state,Age,python_yn,r_yn,spark_yn,aws_yn,excel_yn,sql_yn
Data Analytics Engineer,3.7,Summa Health System,5001 to 10000 employees,1926.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),,75000,131000,103000.0,Akron,99.0,0,0,0,1,1,0
Senior Data Scientist,3.5,Benson Hill,201 to 500 employees,2012.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),,75000,131000,103000.0,Saint Louis,13.0,1,0,0,0,1,0
Product Data Scientist - Ads Data Science,4.1,Twitter,1001 to 5000 employees,2006.0,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"Facebook, Google, Pinterest",75000,131000,103000.0,San Francisco,19.0,1,0,0,0,0,0
Data Scientist,3.2,Postmates - Corporate HQ,1001 to 5000 employees,2011.0,Company - Private,Express Delivery Services,Transportation & Logistics,,"DoorDash, Uber, Grubhub",75000,131000,103000.0,San Francisco,14.0,1,0,1,0,0,1
Data Scientist - Intermediate,4.5,Envision LLC,201 to 500 employees,1994.0,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),,75000,131000,103000.0,Saint Louis,31.0,1,0,0,0,1,0
Data Analyst,3.8,Swiss Re,10000+ employees,1863.0,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR",75000,131000,103000.0,Fort Wayne,162.0,1,0,0,0,1,1
Machine Learning Engineer,4.5,Systems & Technology Research,201 to 500 employees,2010.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),,75000,131000,103000.0,Woburn,15.0,1,0,0,0,1,0
Data Scientist,3.5,iRobot,1001 to 5000 employees,1990.0,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),,79000,131000,105000.0,Bedford,35.0,1,0,0,0,0,1
Data Scientist,4.2,HG Insights,51 to 200 employees,2010.0,Company - Private,Computer Hardware & Software,Information Technology,,,79000,131000,105000.0,Santa Barbara,15.0,1,0,1,0,1,1
Global Data Analyst,3.8,Dermalogica,201 to 500 employees,1986.0,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),"IMAGE Skincare, Aveda, Kiehl's",79000,131000,105000.0,Carson,39.0,0,0,0,0,1,1
Data Engineer,3.7,Bayview Asset Management,1001 to 5000 employees,1995.0,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),,79000,131000,105000.0,Coral Gables,30.0,1,0,0,0,0,1
Data Scientist,3.7,Via Transportation,501 to 1000 employees,2012.0,Company - Private,Internet,Information Technology,,,79000,131000,105000.0,New York,13.0,1,0,0,0,0,1
Data Scientist,4.0,Grid Dynamics,1001 to 5000 employees,2006.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),"Luxoft, EPAM, Capgemini Invent",79000,131000,105000.0,Santa Clara,19.0,1,0,0,0,1,1
Data & Machine Learning Scientist,3.3,Tempus Labs,501 to 1000 employees,2015.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,79000,131000,105000.0,Chicago,10.0,1,0,0,1,0,1
Data Scientist - Machine Learning,2.5,CareDx,1 to 50 employees,,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,Sequenom,79000,131000,105000.0,Brisbane,,1,0,1,0,1,0
Data Engineer (Remote),4.2,IZEA,51 to 200 employees,2006.0,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias",79000,131000,105000.0,Winter Park,19.0,1,0,1,1,1,1
"Data Scientist, Applied Machine Learning - Bay Area",3.3,Tempus Labs,501 to 1000 employees,2015.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,79000,131000,105000.0,Redwood City,10.0,1,0,0,1,0,1
Principal Data Scientist,4.0,Autodesk,5001 to 10000 employees,1982.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),,79000,131000,105000.0,San Francisco,43.0,1,0,1,1,1,0
Business Data Analyst,3.7,Caterpillar,10000+ employees,1925.0,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial",79000,131000,105000.0,Peoria,100.0,0,0,0,0,1,1
Purification Scientist,4.9,New England Biolabs,201 to 500 employees,1974.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,"Thermo Fisher Scientific, Enzymatics, Illumina",79000,131000,105000.0,Ipswich,51.0,0,0,0,0,0,0
Data Analyst,3.4,Allied Solutions,1001 to 5000 employees,2001.0,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance,$100 to $500 million (USD),"CUNA Mutual, SWBC, Overby-Seawell",79000,131000,105000.0,Carmel,24.0,1,0,0,0,1,1
"Data Engineer, Enterprise Analytics",3.1,Healthfirst,1001 to 5000 employees,1993.0,Nonprofit Organization,Insurance Carriers,Insurance,,"EmblemHealth, UnitedHealth Group, Aetna",79000,131000,105000.0,New York,32.0,1,0,0,0,1,1
Data Scientist,3.5,The Knot Worldwide,1001 to 5000 employees,2019.0,Company - Private,Internet,Information Technology,,Zola Registry,79000,131000,105000.0,Washington,6.0,1,0,1,1,0,0
Data Scientist,2.9,IFG Companies,201 to 500 employees,1985.0,Company - Private,Insurance Carriers,Insurance,,"Colony Specialty, Markel, RLI",79000,131000,105000.0,New York,40.0,1,0,0,0,0,1
Data Scientist 3 (718),3.3,Amyris,201 to 500 employees,2003.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),,79000,131000,105000.0,Emeryville,22.0,1,0,0,1,0,0
"Real World Science, Data Scientist",4.0,AstraZeneca,10000+ employees,1913.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",79000,131000,105000.0,Gaithersburg,112.0,1,0,0,0,0,1
Data Scientist,3.6,Powertek,51 to 200 employees,2001.0,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),,79000,131000,105000.0,Washington,24.0,0,0,0,0,0,0
Data Engineer,4.7,Object Partners,51 to 200 employees,1996.0,Company - Private,Consulting,Business Services,$25 to $50 million (USD),"Solution Design Group, Intertech (Minnesota)",79000,131000,105000.0,Saint Louis,29.0,0,0,1,1,0,1
Data Scientist - Image and Video Analytics,4.9,The Mom Project,1 to 50 employees,2016.0,Company - Private,Staffing & Outsourcing,Business Services,,,79000,131000,105000.0,Longmont,9.0,1,0,1,1,0,0
Data Scientist,4.3,Lightspeed Systems,51 to 200 employees,1999.0,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),,79000,131000,105000.0,Austin,26.0,1,0,1,1,0,1
"Data Science Manager, Payment Acceptance - USA",4.0,Stripe,1001 to 5000 employees,2010.0,Company - Private,Internet,Information Technology,,"Braintree, Authorize.Net, PayPal",79000,131000,105000.0,San Francisco,15.0,1,0,0,0,0,1
Data Analyst,2.6,Comprehensive Healthcare,501 to 1000 employees,1971.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,,,79000,131000,105000.0,Yakima,54.0,0,0,0,0,0,0
Data Scientist / Applied Mathematician,4.5,"Fullpower Technologies, Inc.",51 to 200 employees,2003.0,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),,79000,131000,105000.0,Santa Cruz,22.0,1,0,0,1,0,1
Machine Learning Engineer,4.8,Klaviyo,201 to 500 employees,2012.0,Company - Private,Computer Hardware & Software,Information Technology,,,79000,131000,105000.0,Boston,13.0,1,0,0,0,0,0
Data Scientist,3.9,Mars,10000+ employees,1911.0,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),,79000,131000,105000.0,United States,114.0,1,0,1,1,0,0
Patient Safety- Associate Data Scientist,4.0,AstraZeneca,10000+ employees,1913.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",79000,131000,105000.0,Gaithersburg,112.0,1,0,0,0,1,1
Machine Learning Engineer,4.4,NuWave Solutions,51 to 200 employees,1999.0,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),,79000,131000,105000.0,Springfield,26.0,1,0,1,1,0,1
Senior Data Scientist,4.2,ManTech,5001 to 10000 employees,1968.0,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),,79000,131000,105000.0,Alexandria,57.0,1,0,1,0,0,1
(Sr.) Data Scientist -,3.6,Merrick Bank,201 to 500 employees,1997.0,Company - Private,Banks & Credit Unions,Finance,,,79000,131000,105000.0,Utah,28.0,1,0,0,1,1,1
Data Scientist,3.4,Mathematica Policy Research,1001 to 5000 employees,1986.0,Company - Private,Consulting,Business Services,$100 to $500 million (USD),,99000,132000,115500.0,Washington,39.0,1,0,0,1,1,0
Staff Data Scientist - Analytics,4.4,Intuit - Data,5001 to 10000 employees,1983.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block",99000,132000,115500.0,San Diego,42.0,0,0,0,0,0,0
Data Analytics Engineer,3.5,QOMPLX,51 to 200 employees,2015.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),,99000,132000,115500.0,Reston,10.0,1,0,1,0,0,1
"Data Scientist, Kinship - NYC/Portland",3.9,Mars,10000+ employees,1911.0,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),,99000,132000,115500.0,New York,114.0,1,0,1,0,0,0
Senior Data Scientist,3.8,GutCheck,51 to 200 employees,2009.0,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),"Nielsen, Zappi, SurveyMonkey",99000,132000,115500.0,Denver,16.0,0,0,0,0,0,0
Applied Technology Researcher / Data Scientist,3.5,Inter-American Development Bank,1001 to 5000 employees,1959.0,Other Organization,Banks & Credit Unions,Finance,$10+ billion (USD),"The World Bank, IMF",99000,132000,115500.0,Washington,66.0,0,0,0,0,1,0
Data Scientist,4.9,Avlino,1 to 50 employees,2013.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD),,99000,132000,115500.0,New Jersey,12.0,1,0,1,0,0,0
Machine Learning Engineer,4.4,Stratagem Group,1 to 50 employees,2007.0,Company - Private,Aerospace & Defense,Aerospace & Defense,,,99000,132000,115500.0,Aurora,18.0,1,0,1,1,1,1
Health Data Scientist - Biomedical/Biostats,4.1,Evidation,51 to 200 employees,2012.0,Company - Private,Internet,Information Technology,,,99000,132000,115500.0,Santa Barbara,13.0,1,0,0,0,0,0
Senior Data Scientist,4.0,Autodesk,5001 to 10000 employees,1982.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),,99000,132000,115500.0,San Francisco,43.0,1,0,1,0,0,1
Staff Data Scientist,4.4,Intuit - Data,5001 to 10000 employees,1983.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block",99000,132000,115500.0,San Diego,42.0,0,0,0,0,0,0
Data Scientist,3.8,Tecolote Research,501 to 1000 employees,1973.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),,99000,132000,115500.0,Hill AFB,52.0,1,0,0,0,1,1
Sr Data Engineer (Sr BI Developer),3.2,Tivity Health,501 to 1000 employees,1981.0,Company - Public,Health Care Services & Hospitals,Health Care,,,99000,132000,115500.0,Chandler,44.0,0,0,0,0,0,1
Data Engineer,2.9,hc1,51 to 200 employees,2011.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),,99000,132000,115500.0,Indianapolis,14.0,1,0,0,1,0,1
Lead Data Scientist,4.1,HP Inc.,10000+ employees,1939.0,Company - Public,Computer Hardware & Software,Information Technology,,,99000,132000,115500.0,San Diego,86.0,1,0,0,1,1,0
Data Scientist,3.7,SAIC,10000+ employees,2013.0,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),"Booz Allen Hamilton, CACI International",99000,132000,115500.0,Chantilly,12.0,1,0,0,0,0,0
RFP Data Analyst,3.2,AllianceBernstein,1001 to 5000 employees,1967.0,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),,99000,132000,115500.0,Nashville,58.0,0,0,1,0,1,0
Data Analyst,4.9,Big Huge Games,51 to 200 employees,2013.0,Subsidiary or Business Segment,Video Games,Media,,,99000,132000,115500.0,Timonium,12.0,0,1,0,0,1,1
Data Scientist (TS/SCI),3.5,Maxar Technologies,5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),,99000,132000,115500.0,Herndon,,1,0,0,0,0,1
Data Engineer,5.0,Phantom AI,1 to 50 employees,2016.0,Company - Private,Computer Hardware & Software,Information Technology,,,99000,132000,115500.0,Burlingame,9.0,1,0,0,0,0,0
Data Scientist,4.0,Noblis,1001 to 5000 employees,1996.0,Nonprofit Organization,Consulting,Business Services,$100 to $500 million (USD),"Booz Allen Hamilton, SAIC, LMI",99000,132000,115500.0,Reston,29.0,1,0,1,1,0,1
Data Scientist,3.6,Spring Health,1 to 50 employees,2016.0,Company - Private,Health Care Services & Hospitals,Health Care,,,99000,132000,115500.0,New York,9.0,1,0,0,0,1,1
Software Engineer - Data Science,4.0,ClearEdge,51 to 200 employees,2002.0,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),,99000,132000,115500.0,Annapolis Junction,23.0,1,0,1,0,1,0
Data Analyst/Engineer,3.2,AllianceBernstein,1001 to 5000 employees,1967.0,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),,99000,132000,115500.0,Nashville,58.0,1,0,0,0,1,1
NGS Scientist,5.0,Arsenal Biosciences,51 to 200 employees,2019.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,99000,132000,115500.0,South San Francisco,6.0,0,0,0,0,1,0
Data Engineer,4.8,GetWellNetwork,201 to 500 employees,2000.0,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),"Epic, CipherHealth",99000,132000,115500.0,Bethesda,25.0,1,0,0,0,0,1
Data Scientist,4.5,TACG Solutions,51 to 200 employees,2006.0,Company - Private,Consulting,Business Services,,"Copper River Shared Services, Chenega Corporation, Deloitte",99000,132000,115500.0,Dayton,19.0,1,0,0,0,1,1
Senior Data Engineer,4.7,Scoop,51 to 200 employees,2015.0,Company - Private,Internet,Information Technology,,,99000,132000,115500.0,San Francisco,10.0,1,0,1,0,0,0
Senior Data Scientist,4.5,Novetta,501 to 1000 employees,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",99000,132000,115500.0,Herndon,13.0,1,0,0,1,1,0
Data Engineer,4.2,IZEA,51 to 200 employees,2006.0,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),"Linqia, Collective Bias",99000,132000,115500.0,Winter Park,19.0,1,0,1,1,1,1
Business Intelligence Analyst,3.4,Montway Inc,51 to 200 employees,2006.0,Company - Private,Shipping,Transportation & Logistics,,,99000,132000,115500.0,Schaumburg,19.0,1,0,0,0,1,1
Sr. ML/Data Scientist - AI/NLP/Chatbot,3.8,Juniper Networks,5001 to 10000 employees,1996.0,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),,99000,132000,115500.0,Cupertino,29.0,1,0,1,1,1,0
Data Scientist,4.7,1904labs,51 to 200 employees,2016.0,Company - Private,IT Services,Information Technology,,"Slalom, Daugherty Business Solutions",90000,109000,99500.0,Saint Louis,9.0,1,0,1,0,0,1
